TICID,cluster,teff,logg_gaia,feh,numax_pred,numax_final,numax_source,dnu_hon,data_source,has_spoc,peak1,peak2,peak3,M_anchor,dnu_cluster,dnu_scaling,dnu_lo,dnu_hi,dnu_center,ratio,realistic
67419922,NGC_752,4825,2.33,-0.14,26.259645328063343,32.7,envelope,,QLP,False,31.760074875,147.39088288666665,85.97510613,2.7518926500000003,3.2470538902424013,4.085596668572955,2.922348501218161,4.494156335430251,3.666325279407678,1.209463207831616,True
150753375,Theia_1188,4379,1.48,-0.08,3.8935884263712977,15.2,envelope,,QLP,False,15.980634445,131.87859645499998,95.86188535,1.5,2.051400894768489,2.265026481333593,1.8462608052916405,2.4915291294669526,2.158213688051041,4.104346092864636,True
321823630,Theia_1297,4893,2.19,-0.06,18.890780727104723,26.3,envelope,,QLP,False,27.828400405,75.24768312,37.90816252,1.5,3.2263372509055035,3.4547740397143305,2.903703525814953,3.800251443685764,3.3405556453099168,1.473120714649526,True
306345133,Theia_6046,4448,2.01,-0.02,13.090466560238388,22.22,Hon+21,2.89,QLP,False,38.987026365000006,174.56439286,124.930392325,1.5240174166293003,2.732419715844166,3.0342170415394065,2.4591777442597493,3.3376387456933476,2.89,1.6974184913692911,True
43902016,Theia_6046,4499,1.53,-0.26,4.310022311082373,15.07,Hon+21,2.04,QLP,False,16.222250005,67.875920495,140.4696976933333,1.5240174166293003,2.05083638594741,2.250095367086823,1.836,2.4751049037955055,2.04,3.496501621639049,True
24297458,Theia_6046,4487,1.98,-0.02,12.163525785392364,56.01,Hon+21,5.36,QLP,False,33.358504027500004,67.466993425,107.74789759000002,1.5240174166293003,5.484162098477577,6.183270017337315,4.824000000000001,6.801597019071047,5.36,4.60475038144487,True
24666306,Theia_6046,4294,1.96,0.24,11.87425838137978,33.29,Hon+21,3.75,QLP,False,34.5371570075,104.081538735,9.23896727,1.5240174166293003,3.651625143874048,4.1422408133824575,3.286462629486643,4.556464894720704,3.75,2.803543508216277,True
24444542,Theia_6046,4288,1.43,-0.22,3.506792964317948,16.58,Hon+21,2.14,SPOC,True,48.47013525,165.248752075,99.40413364,1.5240174166293003,2.163772083557563,2.4217750819732675,1.926,2.6639525901705943,2.14,4.727966597601726,True
249064439,Theia_6046,5056,2.69,-0.11,58.7670624222497,62.85,Hon+21,6.66,QLP,False,36.76018597666667,122.21499539333333,101.096690495,1.5240174166293003,6.2529389486424405,6.756920175748761,5.627645053778196,7.432612193323638,6.66,1.0694766321381493,True
34472483,Theia_6046,4922,2.56,-0.14,44.153660114586685,34.76,Hon+21,3.97,QLP,False,72.91207591,11.19719855,107.52026415,1.5240174166293003,3.97,4.282379410986513,3.573,4.710617352085165,3.97,0.7872507037874448,True
195860623,Theia_844,4960,2.48,0.04,36.584462323606374,109.1,envelope,,QLP,False,106.10111406,25.419552295,158.517127355,3.1513912499999996,7.829313266099072,10.331866337959598,7.046381939489165,11.365052971755558,9.080589802029335,2.9001687416227937,True
195862014,Theia_844,4900,2.22,-0.01,20.227372618220603,62.1,envelope,,QLP,False,61.537772807500005,172.57759906,70.94143702,3.1513912499999996,5.107303999287725,6.694748294816281,4.596573599358953,7.36422312429791,5.901026147052003,3.042301833707628,True
459055617,Unknown_3,4383,1.71,-0.11,6.609243910632398,47.5,envelope,,SPOC,True,47.137693979999995,18.276876225,186.0242231133333,1.5,4.8232164706309435,5.446378260753253,4.340894823567849,5.991016086828579,5.134797365692098,7.132085699571296,True
